name,url
COMPOSCAN,https://www.myfrenchstartup.com/fr/startup-france/240898/composcan
MOOVENCY,https://www.myfrenchstartup.com/fr/startup-france/240887/moovency
HOMEKONECT,https://www.myfrenchstartup.com/fr/startup-france/240876/homekonect
PRESTAPP,https://www.myfrenchstartup.com/fr/startup-france/240865/prestapp
HAPPYCAB,https://www.myfrenchstartup.com/fr/startup-france/240854/happycab
WINNR,https://www.myfrenchstartup.com/fr/startup-france/240843/winnr
IBAT,https://www.myfrenchstartup.com/fr/startup-france/240821/ibat
ZEPHIRE,https://www.myfrenchstartup.com/fr/startup-france/240788/zephire
LOW TECH LAB,https://www.myfrenchstartup.com/fr/startup-france/240777/low_tech_lab
THE BIG UP COMPANY,https://www.myfrenchstartup.com/fr/startup-france/240766/the_big_up_company
PREDITT,https://www.myfrenchstartup.com/fr/startup-france/240755/preditt
SMAAART,https://www.myfrenchstartup.com/fr/startup-france/240744/smaaart
UNEETI,https://www.myfrenchstartup.com/fr/startup-france/240733/uneeti
ABF DECISIONS,https://www.myfrenchstartup.com/fr/startup-france/240722/abf_decisions
IDEAL GROUPE,https://www.myfrenchstartup.com/fr/startup-france/240711/ideal_groupe
HAPAX,https://www.myfrenchstartup.com/fr/startup-france/240700/hapax
JTVKIDS,https://www.myfrenchstartup.com/fr/startup-france/240689/jtvkids
UNIVERSITEACH,https://www.myfrenchstartup.com/fr/startup-france/240678/universiteach
STORIGIN,https://www.myfrenchstartup.com/fr/startup-france/240667/storigin
LOKALERO,https://www.myfrenchstartup.com/fr/startup-france/240656/lokalero
APP INES,https://www.myfrenchstartup.com/fr/startup-france/240645/app_ines
