name,url
ALEXANDRE MARS,https://www.myfrenchstartup.com/fr/startups-investisseur/133626/alexandre-mars
ALEXIA LAROCHE-JOUBERT,https://www.myfrenchstartup.com/fr/startups-investisseur/129336/alexia-larochejoubert
ALEXIS CAUDE,https://www.myfrenchstartup.com/fr/startups-investisseur/119777/alexis-caude
ALEXIS RATEAU,https://www.myfrenchstartup.com/fr/startups-investisseur/126883/alexis-rateau
ALGONQUIN SA,https://www.myfrenchstartup.com/fr/startups-investisseur/97964/algonquin-sa
ALI ROSENTHAL,https://www.myfrenchstartup.com/fr/startups-investisseur/107600/ali-rosenthal
ALIAD VENTURE CAPITAL,https://www.myfrenchstartup.com/fr/startups-investisseur/129523/aliad-venture-capital
ALIVE IDEAS,https://www.myfrenchstartup.com/fr/startups-investisseur/100615/alive-ideas
ALIZ@CTION,https://www.myfrenchstartup.com/fr/startups-investisseur/115498/alizction
ALIZEE INNOVATION,https://www.myfrenchstartup.com/fr/startups-investisseur/129281/alizee-innovation
ALK ABELLO,https://www.myfrenchstartup.com/fr/startups-investisseur/98569/alk-abello
ALLAN SCOTT,https://www.myfrenchstartup.com/fr/startups-investisseur/94224/allan-scott
ALLIANCE ENTREPRENDRE,https://www.myfrenchstartup.com/fr/startups-investisseur/95269/alliance-entreprendre
ALLIANZ,https://www.myfrenchstartup.com/fr/startups-investisseur/111813/allianz
ALLURE INVESTISSEMENT,https://www.myfrenchstartup.com/fr/startups-investisseur/134495/allure-investissement
ALPES CAPITAL INNOVATION,https://www.myfrenchstartup.com/fr/startups-investisseur/146386/alpes-capital-innovation
ALPES LEMAN ANGELS,https://www.myfrenchstartup.com/fr/startups-investisseur/123759/alpes-leman-angels
ALPES LEMAN TRANSITION,https://www.myfrenchstartup.com/fr/startups-investisseur/135243/alpes-leman-transition
ALPHA CAPITAL PARTNERS,https://www.myfrenchstartup.com/fr/startups-investisseur/126366/alpha-capital-partners
ALPHAOMEGA,https://www.myfrenchstartup.com/fr/startups-investisseur/96545/alphaomega
ALSACE BUSINESS ANGELS,https://www.myfrenchstartup.com/fr/startups-investisseur/136695/alsace-business-angels
ALSACE CREATION,https://www.myfrenchstartup.com/fr/startups-investisseur/143856/alsace-creation
ALSACE INNOVATION ET INVESTISSEMENTS,https://www.myfrenchstartup.com/fr/startups-investisseur/101385/alsace-innovation-et-investissements
ALSATIS,https://www.myfrenchstartup.com/fr/startups-investisseur/95258/alsatis
ALTER EQUITY 3P,https://www.myfrenchstartup.com/fr/startups-investisseur/138125/alter-equity-3p
ALTERNATIVA,https://www.myfrenchstartup.com/fr/startups-investisseur/132251/alternativa
ALTERNATIVE INVESTMENTS,https://www.myfrenchstartup.com/fr/startups-investisseur/92882/alternative-investments
ALTERNATIVE POWER,https://www.myfrenchstartup.com/fr/startups-investisseur/99306/alternative-power
ALTO INVEST,https://www.myfrenchstartup.com/fr/startups-investisseur/95236/alto-invest
ALTOS VENTURES,https://www.myfrenchstartup.com/fr/startups-investisseur/141689/altos-ventures
